$P\ (\mathrm{bar})$,$V\ (\mathrm{cm}^3)$,$\gamma\ (\mathrm{K}^{-1})$,$m_3^*/m_3$,$F_1^{s}$
0,36.84,2.78,2.80,5.39
1,35.74,2.85,2.93,5.78
2,34.78,2.92,3.05,6.14
3,33.95,2.98,3.16,6.49
4,33.23,3.04,3.27,6.82
5,32.59,3.10,3.38,7.14
6,32.03,3.16,3.48,7.45
7,31.54,3.21,3.58,7.75
8,31.10,3.27,3.68,8.03
9,30.71,3.32,3.77,8.31
10,30.35,3.37,3.86,8.57
11,30.02,3.42,3.95,8.84
12,29.71,3.48,4.03,9.09
13,29.42,3.53,4.12,9.35
14,29.15,3.58,4.20,9.60
15,28.89,3.62,4.28,9.85
16,28.64,3.67,4.37,10.10
17,28.41,3.72,4.45,10.35
18,28.18,3.77,4.53,10.60
19,27.96,3.82,4.61,10.84
20,27.75,3.87,4.70,11.09
21,27.55,3.92,4.78,11.34
22,27.36,3.97,4.86,11.58
23,27.18,4.02,4.94,11.83
24,27.01,4.06,5.02,12.07
25,26.85,4.11,5.10,12.31
26,26.70,4.16,5.18,12.55
27,26.56,4.21,5.26,12.79
28,26.42,4.26,5.34,13.03
29,26.29,4.31,5.42,13.26
30,26.17,4.36,5.50,13.50
31,26.04,4.40,5.58,13.73
32,25.90,4.45,5.66,13.97
33,25.75,4.50,5.74,14.21
34,25.58,4.54,5.82,14.46
34.39,25.50,4.56,5.85,14.56
